id,timestamp,bus_stop,service,estimated,eta_seconds,hour,minute,weekday,eta_minutes,prev_eta_minutes,eta_change_minutes
327,2025-11-16T17:38:08.133Z,2151,97,2025-11-16T09:52:18.000Z,849.866662,17,38,1,14.164444366666666,,
19820,2025-11-16T19:39:40.876Z,2151,97,2025-11-16T11:40:54.000Z,73.123839,19,39,1,1.2187306500000001,14.164444366666666,-12.945713716666667
39210,2025-11-16T20:42:40.045Z,2151,97,2025-11-16T12:53:04.000Z,623.954278,20,42,1,10.399237966666668,1.2187306500000001,9.180507316666668
334,2025-11-16T17:38:08.133Z,2161,502,2025-11-16T09:46:43.000Z,514.866662,17,38,1,8.581111033333334,,
19827,2025-11-16T19:39:40.876Z,2161,502,2025-11-16T11:48:12.000Z,511.123839,19,39,1,8.51873065,8.581111033333334,-0.062380383333334066
39217,2025-11-16T20:42:40.045Z,2161,502,2025-11-16T12:55:26.000Z,765.954278,20,42,1,12.765904633333333,8.51873065,4.247173983333333
337,2025-11-16T17:38:08.133Z,2161,857,2025-11-16T09:47:04.000Z,535.866662,17,38,1,8.931111033333334,,
19830,2025-11-16T19:39:40.876Z,2161,857,2025-11-16T11:45:07.000Z,326.123839,19,39,1,5.435397316666666,8.931111033333334,-3.4957137166666676
39220,2025-11-16T20:42:40.045Z,2161,857,2025-11-16T12:51:45.000Z,544.954278,20,42,1,9.082571300000001,5.435397316666666,3.647173983333335
342,2025-11-16T17:38:08.133Z,2171,111,2025-11-16T09:49:36.000Z,687.866662,17,38,1,11.464444366666667,,
19835,2025-11-16T19:39:40.876Z,2171,111,2025-11-16T11:42:11.000Z,150.123839,19,39,1,2.5020639833333336,11.464444366666667,-8.962380383333333
39225,2025-11-16T20:42:40.045Z,2171,111,2025-11-16T12:49:34.000Z,413.954278,20,42,1,6.899237966666666,2.5020639833333336,4.3971739833333325
350,2025-11-16T17:38:08.133Z,2181,195,2025-11-16T09:46:06.000Z,477.866662,17,38,1,7.964444366666667,,
19843,2025-11-16T19:39:40.876Z,2181,195,2025-11-16T11:41:30.000Z,109.123839,19,39,1,1.81873065,7.964444366666667,-6.145713716666667
39233,2025-11-16T20:42:40.045Z,2181,195,2025-11-16T12:43:45.000Z,64.954278,20,42,1,1.0825713000000001,1.81873065,-0.7361593499999999
355,2025-11-16T17:38:08.133Z,3011,131,2025-11-16T09:41:47.000Z,218.866662,17,38,1,3.6477777,,
19848,2025-11-16T19:39:40.876Z,3011,131,2025-11-16T11:50:50.000Z,669.123839,19,39,1,11.152063983333333,3.6477777,7.504286283333333
39238,2025-11-16T20:42:40.045Z,3011,131,2025-11-16T12:46:15.000Z,214.954278,20,42,1,3.5825712999999997,11.152063983333333,-7.569492683333333
357,2025-11-16T17:38:08.133Z,3011,196,2025-11-16T09:44:31.000Z,382.866662,17,38,1,6.381111033333334,,
19850,2025-11-16T19:39:40.876Z,3011,196,2025-11-16T12:00:34.000Z,1253.123839,19,39,1,20.88539731666667,6.381111033333334,14.504286283333336
39240,2025-11-16T20:42:40.045Z,3011,196,2025-11-16T12:53:18.000Z,637.954278,20,42,1,10.6325713,20.88539731666667,-10.252826016666669
360,2025-11-16T17:38:08.133Z,3019,100,2025-11-16T09:38:53.000Z,44.866662,17,38,1,0.7477777,,
19853,2025-11-16T19:39:40.876Z,3019,100,2025-11-16T11:47:35.000Z,474.123839,19,39,1,7.902063983333333,0.7477777,7.154286283333333
